episode,step,episodic reward,success rate,episodic length
0,5,-1,0.0,5
0,10,-1,0.0,10
0,15,-1,0.0,15
0,20,-1,0.0,20
0,25,-1,0.0,25
0,30,-1,0.0,30
0,35,-1,0.0,35
0,40,-1,0.0,40
0,45,-1,0.0,45
1,50,-0.7247760187475507,0.0,3
1,55,-0.7247760187475507,0.0,8
1,60,-0.7247760187475507,0.0,13
1,65,-0.7247760187475507,0.0,18
1,70,-0.7247760187475507,0.0,23
1,75,-0.7247760187475507,0.0,28
1,80,-0.7247760187475507,0.0,33
1,85,-0.7247760187475507,0.0,38
1,90,-0.7247760187475507,0.0,43
1,95,-0.7247760187475507,0.0,48
1,100,-0.7247760187475507,0.0,53
1,105,-0.7247760187475507,0.0,58
1,110,-0.7247760187475507,0.0,63
1,115,-0.7247760187475507,0.0,68
1,120,-0.7247760187475507,0.0,73
1,125,-0.7247760187475507,0.0,78
1,130,-0.7247760187475507,0.0,83
1,135,-0.7247760187475507,0.0,88
1,140,-0.7247760187475507,0.0,93
1,145,-0.7247760187475507,0.0,98
1,150,-0.7247760187475507,0.0,103
1,155,-0.7247760187475507,0.0,108
1,160,-0.7247760187475507,0.0,113
1,165,-0.7247760187475507,0.0,118
1,170,-0.7247760187475507,0.0,123
1,175,-0.7247760187475507,0.0,128
1,180,-0.7247760187475507,0.0,133
1,185,-0.7247760187475507,0.0,138
1,190,-0.7247760187475507,0.0,143
1,195,-0.7247760187475507,0.0,148
1,200,-0.7247760187475507,0.0,153
1,205,-0.7247760187475507,0.0,158
1,210,-0.7247760187475507,0.0,163
1,215,-0.7247760187475507,0.0,168
1,220,-0.7247760187475507,0.0,173
1,225,-0.7247760187475507,0.0,178
1,230,-0.7247760187475507,0.0,183
1,235,-0.7247760187475507,0.0,188
1,240,-0.7247760187475507,0.0,193
1,245,-0.7247760187475507,0.0,198
1,250,-0.7247760187475507,0.0,203
2,255,1.0239334828206768,0.0,1
2,260,1.0239334828206768,0.0,6
2,265,1.0239334828206768,0.0,11
2,270,1.0239334828206768,0.0,16
2,275,1.0239334828206768,0.0,21
2,280,1.0239334828206768,0.0,26
2,285,1.0239334828206768,0.0,31
2,290,1.0239334828206768,0.0,36
2,295,1.0239334828206768,0.0,41
2,300,1.0239334828206768,0.0,46
2,305,1.0239334828206768,0.0,51
2,310,1.0239334828206768,0.0,56
2,315,1.0239334828206768,0.0,61
2,320,1.0239334828206768,0.0,66
2,325,1.0239334828206768,0.0,71
2,330,1.0239334828206768,0.0,76
2,335,1.0239334828206768,0.0,81
2,340,1.0239334828206768,0.0,86
2,345,1.0239334828206768,0.0,91
2,350,1.0239334828206768,0.0,96
2,355,1.0239334828206768,0.0,101
2,360,1.0239334828206768,0.0,106
2,365,1.0239334828206768,0.0,111
2,370,1.0239334828206768,0.0,116
2,375,1.0239334828206768,0.0,121
2,380,1.0239334828206768,0.0,126
2,385,1.0239334828206768,0.0,131
2,390,1.0239334828206768,0.0,136
2,395,1.0239334828206768,0.0,141
2,400,1.0239334828206768,0.0,146
2,405,1.0239334828206768,0.0,151
2,410,1.0239334828206768,0.0,156
2,415,1.0239334828206768,0.0,161
2,420,1.0239334828206768,0.0,166
2,425,1.0239334828206768,0.0,171
2,430,1.0239334828206768,0.0,176
2,435,1.0239334828206768,0.0,181
2,440,1.0239334828206768,0.0,186
2,445,1.0239334828206768,0.0,191
2,450,1.0239334828206768,0.0,196
2,455,1.0239334828206768,0.0,201
2,460,1.0239334828206768,0.0,206
2,465,1.0239334828206768,0.0,211
2,470,1.0239334828206768,0.0,216
2,475,1.0239334828206768,0.0,221
3,480,1.0205682378707575,0.0,2
3,485,1.0205682378707575,0.0,7
3,490,1.0205682378707575,0.0,12
3,495,1.0205682378707575,0.0,17
3,500,1.0205682378707575,0.0,22
3,505,1.0205682378707575,0.0,27
3,510,1.0205682378707575,0.0,32
