episode,step,episodic reward,success rate,episodic length
0,5,-1,0.0,5
0,10,-1,0.0,10
0,15,-1,0.0,15
0,20,-1,0.0,20
0,25,-1,0.0,25
0,30,-1,0.0,30
0,35,-1,0.0,35
0,40,-1,0.0,40
0,45,-1,0.0,45
1,50,-0.7468611814764544,0.0,1
1,55,-0.7468611814764544,0.0,6
1,60,-0.7468611814764544,0.0,11
1,65,-0.7468611814764544,0.0,16
1,70,-0.7468611814764544,0.0,21
1,75,-0.7468611814764544,0.0,26
1,80,-0.7468611814764544,0.0,31
1,85,-0.7468611814764544,0.0,36
1,90,-0.7468611814764544,0.0,41
1,95,-0.7468611814764544,0.0,46
1,100,-0.7468611814764544,0.0,51
1,105,-0.7468611814764544,0.0,56
1,110,-0.7468611814764544,0.0,61
1,115,-0.7468611814764544,0.0,66
1,120,-0.7468611814764544,0.0,71
1,125,-0.7468611814764544,0.0,76
1,130,-0.7468611814764544,0.0,81
1,135,-0.7468611814764544,0.0,86
1,140,-0.7468611814764544,0.0,91
1,145,-0.7468611814764544,0.0,96
1,150,-0.7468611814764544,0.0,101
1,155,-0.7468611814764544,0.0,106
1,160,-0.7468611814764544,0.0,111
1,165,-0.7468611814764544,0.0,116
1,170,-0.7468611814764544,0.0,121
1,175,-0.7468611814764544,0.0,126
1,180,-0.7468611814764544,0.0,131
1,185,-0.7468611814764544,0.0,136
1,190,-0.7468611814764544,0.0,141
1,195,-0.7468611814764544,0.0,146
1,200,-0.7468611814764544,0.0,151
1,205,-0.7468611814764544,0.0,156
1,210,-0.7468611814764544,0.0,161
1,215,-0.7468611814764544,0.0,166
1,220,-0.7468611814764544,0.0,171
1,225,-0.7468611814764544,0.0,176
1,230,-0.7468611814764544,0.0,181
1,235,-0.7468611814764544,0.0,186
2,240,1.9628891723563242,0.05,5
2,245,1.9628891723563242,0.05,10
2,250,1.9628891723563242,0.05,15
2,255,1.9628891723563242,0.05,20
2,260,1.9628891723563242,0.05,25
2,265,1.9628891723563242,0.05,30
2,270,1.9628891723563242,0.05,35
2,275,1.9628891723563242,0.05,40
2,280,1.9628891723563242,0.05,45
2,285,1.9628891723563242,0.05,50
