episode,step,episodic reward,success rate,episodic length
0,5,-1,0.0,5
0,10,-1,0.0,10
0,15,-1,0.0,15
0,20,-1,0.0,20
0,25,-1,0.0,25
0,30,-1,0.0,30
0,35,-1,0.0,35
0,40,-1,0.0,40
0,45,-1,0.0,45
1,50,-1,0.0,3
1,55,-1,0.0,8
1,60,-1,0.0,13
1,65,-1,0.0,18
1,70,-1,0.0,23
1,75,-1,0.0,28
1,80,-1,0.0,33
1,85,-1,0.0,38
1,90,-1,0.0,43
1,95,-1,0.0,48
1,100,-1,0.0,53
1,105,-1,0.0,58
1,110,-1,0.0,63
1,115,-1,0.0,68
1,120,-1,0.0,73
1,125,-1,0.0,78
1,130,-1,0.0,83
1,135,-1,0.0,88
1,140,-1,0.0,93
1,145,-1,0.0,98
1,150,-1,0.0,103
1,155,-1,0.0,108
1,160,-1,0.0,113
1,165,-1,0.0,118
1,170,-1,0.0,123
1,175,-1,0.0,128
1,180,-1,0.0,133
1,185,-1,0.0,138
1,190,-1,0.0,143
1,195,-1,0.0,148
1,200,-1,0.0,153
1,205,-1,0.0,158
1,210,-1,0.0,163
1,215,-1,0.0,168
1,220,-1,0.0,173
1,225,-1,0.0,178
1,230,-1,0.0,183
1,235,-1,0.0,188
1,240,-1,0.0,193
1,245,-1,0.0,198
1,250,-1,0.0,203
2,255,0,0.0,4
2,260,0,0.0,9
2,265,0,0.0,14
2,270,0,0.0,19
2,275,0,0.0,24
2,280,0,0.0,29
2,285,0,0.0,34
2,290,0,0.0,39
2,295,0,0.0,44
2,300,0,0.0,49
2,305,0,0.0,54
2,310,0,0.0,59
2,315,0,0.0,64
2,320,0,0.0,69
2,325,0,0.0,74
2,330,0,0.0,79
2,335,0,0.0,84
2,340,0,0.0,89
2,345,0,0.0,94
2,350,0,0.0,99
2,355,0,0.0,104
2,360,0,0.0,109
2,365,0,0.0,114
2,370,0,0.0,119
2,375,0,0.0,124
2,380,0,0.0,129
2,385,0,0.0,134
2,390,0,0.0,139
2,395,0,0.0,144
2,400,0,0.0,149
2,405,0,0.0,154
2,410,0,0.0,159
2,415,0,0.0,164
2,420,0,0.0,169
