episode,step,episodic reward,success rate,episodic length
0,5,-1,0.0,5
0,10,-1,0.0,10
0,15,-1,0.0,15
0,20,-1,0.0,20
0,25,-1,0.0,25
0,30,-1,0.0,30
0,35,-1,0.0,35
0,40,-1,0.0,40
0,45,-1,0.0,45
1,50,-1,0.0,2
1,55,-1,0.0,7
1,60,-1,0.0,12
1,65,-1,0.0,17
1,70,-1,0.0,22
1,75,-1,0.0,27
1,80,-1,0.0,32
1,85,-1,0.0,37
1,90,-1,0.0,42
2,95,-1,0.0,2
2,100,-1,0.0,7
2,105,-1,0.0,12
2,110,-1,0.0,17
2,115,-1,0.0,22
2,120,-1,0.0,27
2,125,-1,0.0,32
2,130,-1,0.0,37
2,135,-1,0.0,42
2,140,-1,0.0,47
2,145,-1,0.0,52
2,150,-1,0.0,57
2,155,-1,0.0,62
2,160,-1,0.0,67
2,165,-1,0.0,72
2,170,-1,0.0,77
2,175,-1,0.0,82
2,180,-1,0.0,87
2,185,-1,0.0,92
2,190,-1,0.0,97
2,195,-1,0.0,102
2,200,-1,0.0,107
2,205,-1,0.0,112
2,210,-1,0.0,117
2,215,-1,0.0,122
2,220,-1,0.0,127
2,225,-1,0.0,132
2,230,-1,0.0,137
2,235,-1,0.0,142
2,240,-1,0.0,147
2,245,-1,0.0,152
2,250,-1,0.0,157
2,255,-1,0.0,162
2,260,-1,0.0,167
2,265,-1,0.0,172
2,270,-1,0.0,177
2,275,-1,0.0,182
2,280,-1,0.0,187
2,285,-1,0.0,192
2,290,-1,0.0,197
2,295,-1,0.0,202
2,300,-1,0.0,207
3,305,0,0.0,3
3,310,0,0.0,8
3,315,0,0.0,13
3,320,0,0.0,18
3,325,0,0.0,23
3,330,0,0.0,28
3,335,0,0.0,33
3,340,0,0.0,38
3,345,0,0.0,43
3,350,0,0.0,48
3,355,0,0.0,53
3,360,0,0.0,58
3,365,0,0.0,63
3,370,0,0.0,68
3,375,0,0.0,73
3,380,0,0.0,78
3,385,0,0.0,83
3,390,0,0.0,88
3,395,0,0.0,93
3,400,0,0.0,98
3,405,0,0.0,103
3,410,0,0.0,108
3,415,0,0.0,113
3,420,0,0.0,118
