episode,step,episodic reward,success rate,episodic length
0,5,-1,0.0,5
0,10,-1,0.0,10
0,15,-1,0.0,15
0,20,-1,0.0,20
0,25,-1,0.0,25
0,30,-1,0.0,30
0,35,-1,0.0,35
0,40,-1,0.0,40
0,45,-1,0.0,45
1,50,-1,0.0,3
1,55,-1,0.0,8
1,60,-1,0.0,13
1,65,-1,0.0,18
1,70,-1,0.0,23
1,75,-1,0.0,28
1,80,-1,0.0,33
1,85,-1,0.0,38
2,90,-1,0.0,5
2,95,-1,0.0,10
2,100,-1,0.0,15
2,105,-1,0.0,20
2,110,-1,0.0,25
2,115,-1,0.0,30
2,120,-1,0.0,35
2,125,-1,0.0,40
2,130,-1,0.0,45
2,135,-1,0.0,50
2,140,-1,0.0,55
2,145,-1,0.0,60
2,150,-1,0.0,65
2,155,-1,0.0,70
2,160,-1,0.0,75
2,165,-1,0.0,80
2,170,-1,0.0,85
2,175,-1,0.0,90
2,180,-1,0.0,95
2,185,-1,0.0,100
2,190,-1,0.0,105
2,195,-1,0.0,110
2,200,-1,0.0,115
2,205,-1,0.0,120
2,210,-1,0.0,125
2,215,-1,0.0,130
2,220,-1,0.0,135
3,225,-1,0.0,4
3,230,-1,0.0,9
3,235,-1,0.0,14
3,240,-1,0.0,19
3,245,-1,0.0,24
3,250,-1,0.0,29
3,255,-1,0.0,34
3,260,-1,0.0,39
3,265,-1,0.0,44
4,270,-1,0.0,2
4,275,-1,0.0,7
4,280,-1,0.0,12
4,285,-1,0.0,17
4,290,-1,0.0,22
4,295,-1,0.0,27
4,300,-1,0.0,32
4,305,-1,0.0,37
4,310,-1,0.0,42
4,315,-1,0.0,47
4,320,-1,0.0,52
4,325,-1,0.0,57
4,330,-1,0.0,62
4,335,-1,0.0,67
4,340,-1,0.0,72
4,345,-1,0.0,77
4,350,-1,0.0,82
4,355,-1,0.0,87
4,360,-1,0.0,92
4,365,-1,0.0,97
4,370,-1,0.0,102
4,375,-1,0.0,107
4,380,-1,0.0,112
4,385,-1,0.0,117
4,390,-1,0.0,122
4,395,-1,0.0,127
4,400,-1,0.0,132
4,405,-1,0.0,137
4,410,-1,0.0,142
